,user_id,adopted,logins
0,1,0,1.0
1,2,1,14.0
2,3,0,1.0
3,4,0,1.0
4,5,0,1.0
5,6,0,1.0
6,7,0,1.0
7,10,1,284.0
8,11,0,1.0
9,13,0,1.0
10,14,0,1.0
11,17,0,1.0
12,19,0,2.0
13,20,1,7.0
14,21,0,1.0
15,22,0,1.0
16,23,0,1.0
17,24,0,1.0
18,25,0,2.0
19,27,0,1.0
20,28,0,1.0
21,29,0,1.0
22,30,0,1.0
23,31,0,1.0
24,33,1,18.0
25,36,0,1.0
26,37,0,1.0
27,41,0,1.0
28,42,1,342.0
29,43,1,8.0
30,44,0,1.0
31,45,0,1.0
32,46,0,1.0
33,47,0,1.0
34,48,0,1.0
35,49,0,1.0
36,50,0,17.0
37,51,0,1.0
38,53,1,9.0
39,54,0,1.0
40,55,0,1.0
41,56,0,1.0
42,57,0,1.0
43,58,0,1.0
44,59,0,3.0
45,60,0,8.0
46,61,0,1.0
47,63,1,362.0
48,64,0,1.0
49,65,0,1.0
50,66,0,1.0
51,67,0,1.0
52,68,0,1.0
53,69,1,521.0
54,72,0,1.0
55,73,0,1.0
56,74,1,59.0
57,75,0,1.0
58,76,0,1.0
59,77,0,3.0
60,78,0,1.0
61,80,1,8.0
62,81,1,78.0
63,82,1,205.0
64,83,0,1.0
65,84,0,1.0
66,85,0,1.0
67,86,0,1.0
68,87,1,104.0
69,88,0,1.0
70,89,0,1.0
71,90,0,1.0
72,91,0,1.0
73,92,0,1.0
74,94,0,2.0
75,95,0,5.0
76,96,0,2.0
77,97,0,1.0
78,98,0,1.0
79,99,0,1.0
80,100,0,1.0
81,101,0,1.0
82,103,0,1.0
83,105,0,1.0
84,106,0,1.0
85,107,0,1.0
86,109,0,1.0
87,110,0,1.0
88,111,0,1.0
89,112,0,1.0
90,113,0,1.0
91,114,0,1.0
92,115,0,1.0
93,116,0,1.0
94,117,0,1.0
95,119,0,1.0
96,121,0,1.0
97,123,0,1.0
98,124,0,1.0
99,125,0,1.0
100,126,0,5.0
101,127,0,1.0
102,128,0,2.0
103,132,0,1.0
104,133,1,72.0
105,135,1,24.0
106,136,0,6.0
107,138,0,1.0
108,139,0,1.0
109,140,0,1.0
110,141,1,20.0
111,142,0,4.0
112,143,0,1.0
113,144,0,1.0
114,146,1,111.0
115,147,0,1.0
116,150,0,1.0
117,151,0,1.0
118,153,1,157.0
119,154,0,1.0
120,155,0,1.0
121,156,0,1.0
122,158,0,1.0
123,159,0,1.0
124,160,1,147.0
125,161,0,1.0
126,162,0,1.0
127,164,0,1.0
128,165,1,17.0
129,167,0,1.0
130,168,1,319.0
131,171,0,4.0
132,172,0,13.0
133,173,0,1.0
134,174,1,22.0
135,175,0,1.0
136,176,0,1.0
137,178,0,1.0
138,179,0,1.0
139,180,0,1.0
140,181,0,1.0
141,182,0,1.0
142,183,0,1.0
143,184,0,1.0
144,185,1,56.0
145,187,0,1.0
146,188,1,16.0
147,189,0,1.0
148,193,0,1.0
149,195,0,1.0
150,196,0,1.0
151,197,1,205.0
152,198,0,1.0
153,200,1,159.0
154,201,0,1.0
155,202,1,56.0
156,203,1,213.0
157,204,0,1.0
158,205,0,1.0
159,206,0,1.0
160,208,0,1.0
161,209,1,142.0
162,210,0,1.0
163,211,0,1.0
164,212,0,2.0
165,213,0,1.0
166,214,1,107.0
167,215,0,1.0
168,216,0,1.0
169,217,0,1.0
170,219,0,1.0
171,220,0,1.0
172,221,0,4.0
173,222,0,1.0
174,223,0,2.0
175,225,0,1.0
176,226,0,1.0
177,227,0,1.0
178,228,0,1.0
179,230,1,305.0
180,232,0,1.0
181,234,0,1.0
182,235,0,1.0
183,236,0,1.0
184,237,0,1.0
185,238,0,1.0
186,239,0,1.0
187,240,0,1.0
188,241,0,3.0
189,242,0,1.0
190,243,0,1.0
191,244,0,1.0
192,245,1,196.0
193,246,0,1.0
194,247,1,60.0
195,249,0,1.0
196,250,0,1.0
197,251,0,4.0
198,252,0,1.0
199,253,0,1.0
200,254,0,2.0
201,255,0,1.0
202,256,0,1.0
203,258,0,1.0
204,259,0,1.0
205,260,0,1.0
206,261,0,1.0
207,262,0,1.0
208,263,1,264.0
209,265,1,22.0
210,266,0,1.0
211,267,0,1.0
212,268,0,1.0
213,271,0,1.0
214,273,0,1.0
215,275,1,21.0
216,277,0,3.0
217,278,0,1.0
218,280,1,56.0
219,283,1,25.0
220,284,0,1.0
221,285,0,1.0
222,286,0,1.0
223,289,0,1.0
224,290,0,1.0
225,291,0,2.0
226,292,0,1.0
227,293,0,1.0
228,294,0,1.0
229,295,0,1.0
230,297,1,271.0
231,298,1,94.0
232,299,0,1.0
233,300,0,1.0
234,302,0,1.0
235,303,0,1.0
236,305,1,17.0
237,308,0,1.0
238,309,0,1.0
239,310,1,167.0
240,311,1,81.0
241,312,0,1.0
242,313,0,1.0
243,315,0,1.0
244,316,0,1.0
245,317,0,1.0
246,319,0,1.0
247,320,0,1.0
248,321,0,4.0
249,322,1,202.0
250,323,0,1.0
251,325,0,1.0
252,326,0,1.0
253,329,0,1.0
254,330,0,3.0
255,331,0,1.0
256,333,0,1.0
257,335,0,1.0
258,337,0,4.0
259,338,0,2.0
260,339,0,1.0
261,340,0,1.0
262,341,1,108.0
263,342,0,1.0
264,343,0,1.0
265,345,0,9.0
266,346,0,1.0
267,347,0,9.0
268,349,0,1.0
269,350,0,2.0
270,351,1,33.0
271,352,0,1.0
272,353,0,1.0
273,354,0,1.0
274,357,0,1.0
275,360,0,1.0
276,362,0,9.0
277,363,1,49.0
278,364,0,1.0
279,365,0,1.0
280,366,0,1.0
281,367,0,7.0
282,368,0,1.0
283,370,1,110.0
284,371,0,1.0
285,374,0,1.0
286,375,0,11.0
287,376,0,1.0
288,379,0,1.0
289,381,0,1.0
290,382,0,3.0
291,383,1,21.0
292,388,0,1.0
293,389,0,1.0
294,390,0,8.0
295,391,0,1.0
296,393,0,1.0
297,394,0,1.0
298,395,0,1.0
299,397,0,5.0
300,398,0,12.0
301,399,0,1.0
302,400,0,1.0
303,401,1,41.0
304,402,0,1.0
305,403,0,1.0
306,405,0,1.0
307,406,0,1.0
308,407,0,1.0
309,408,0,1.0
310,409,0,1.0
311,411,0,1.0
312,413,0,2.0
313,416,0,1.0
314,417,0,4.0
315,418,1,32.0
316,420,0,1.0
317,423,0,1.0
318,424,0,1.0
319,425,0,1.0
320,426,0,1.0
321,427,0,1.0
322,430,1,96.0
323,431,0,1.0
324,433,0,1.0
325,434,0,1.0
326,435,0,1.0
327,436,0,1.0
328,438,0,1.0
329,439,0,1.0
330,440,0,1.0
331,442,0,1.0
332,444,0,1.0
333,445,1,487.0
334,446,0,1.0
335,448,0,1.0
336,449,0,1.0
337,450,1,117.0
338,451,0,1.0
339,452,0,1.0
340,453,0,1.0
341,455,0,3.0
342,457,0,1.0
343,460,0,11.0
344,461,0,1.0
345,462,1,146.0
346,464,0,1.0
347,465,0,1.0
348,469,1,24.0
349,471,1,76.0
350,472,1,6.0
351,473,0,1.0
352,474,0,1.0
353,477,0,1.0
354,478,0,5.0
355,479,1,6.0
356,480,0,1.0
357,481,0,6.0
358,482,0,1.0
359,483,1,98.0
360,486,0,2.0
361,487,0,1.0
362,488,0,1.0
363,490,0,1.0
364,492,1,78.0
365,493,0,1.0
366,494,1,31.0
367,495,0,1.0
368,497,1,205.0
369,498,0,1.0
370,500,0,2.0
371,501,0,1.0
372,502,0,17.0
373,504,0,1.0
374,505,0,1.0
375,506,0,5.0
376,508,0,1.0
377,509,1,283.0
378,510,1,308.0
379,511,0,3.0
380,512,1,134.0
381,513,0,1.0
382,514,0,1.0
383,515,0,1.0
384,516,0,1.0
385,517,0,1.0
386,518,1,28.0
387,519,0,1.0
388,520,0,12.0
389,521,0,1.0
390,522,1,89.0
391,524,0,1.0
392,525,0,1.0
393,526,0,1.0
394,528,0,3.0
395,529,1,114.0
396,531,0,1.0
397,533,0,1.0
398,534,0,1.0
399,535,1,250.0
400,536,0,1.0
401,537,0,1.0
402,538,0,1.0
403,539,0,1.0
404,540,1,56.0
405,542,0,1.0
406,543,0,5.0
407,546,0,1.0
408,547,1,40.0
409,549,0,1.0
410,552,0,1.0
411,553,1,211.0
412,554,0,1.0
413,555,0,5.0
414,557,0,1.0
415,560,0,1.0
416,561,0,4.0
417,562,0,1.0
418,563,0,1.0
419,564,1,115.0
420,565,0,1.0
421,566,0,1.0
422,568,0,1.0
423,570,0,1.0
424,571,0,1.0
425,572,1,44.0
426,573,0,1.0
427,574,0,1.0
428,575,0,3.0
429,576,0,1.0
430,579,0,1.0
431,580,0,1.0
432,581,0,1.0
433,582,0,1.0
434,583,0,1.0
435,584,0,1.0
436,586,0,1.0
437,588,0,1.0
438,589,1,10.0
439,591,0,5.0
440,592,0,1.0
441,593,0,1.0
442,595,0,1.0
443,596,0,1.0
444,597,0,1.0
445,600,0,1.0
446,601,1,25.0
447,603,1,489.0
448,604,0,1.0
449,605,1,408.0
450,607,0,5.0
451,608,0,4.0
452,609,0,1.0
453,612,0,1.0
454,614,0,1.0
455,615,0,1.0
456,616,0,1.0
457,617,0,4.0
458,618,1,94.0
459,619,0,1.0
460,620,0,1.0
461,621,0,1.0
462,623,0,1.0
463,626,0,1.0
464,627,1,22.0
465,628,1,16.0
466,630,0,1.0
467,632,1,87.0
468,633,0,1.0
469,634,1,44.0
470,635,0,1.0
471,637,0,1.0
472,638,0,1.0
473,639,1,197.0
474,640,0,1.0
475,641,0,1.0
476,643,0,1.0
477,644,0,1.0
478,646,0,1.0
479,647,0,1.0
480,648,0,1.0
481,649,0,4.0
482,651,0,1.0
483,652,0,1.0
484,654,0,1.0
485,655,0,1.0
486,656,0,1.0
487,657,0,1.0
488,658,0,1.0
489,660,0,1.0
490,661,0,1.0
491,663,0,1.0
492,665,0,3.0
493,666,0,1.0
494,667,0,2.0
495,668,0,1.0
496,669,1,142.0
497,671,0,1.0
498,673,0,1.0
499,674,0,1.0
500,675,0,2.0
501,676,0,1.0
502,677,0,1.0
503,678,0,1.0
504,679,1,209.0
505,680,1,126.0
506,682,0,2.0
507,683,0,2.0
508,685,0,1.0
509,689,0,1.0
510,690,0,1.0
511,691,0,1.0
512,692,0,1.0
513,693,0,1.0
514,694,0,1.0
515,699,0,1.0
516,700,0,1.0
517,701,0,1.0
